#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD ,  APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec ,  sec ,degT,   hPa , degC  ,degC , degC ,  mi ,   ft
2021,1,4,13,56,999,99.0,99.0,1.54,13.33,11.88,355,9999.0,999.0,12.0,999.0,99.0,99.00
2021,1,4,14,26,999,99.0,99.0,1.63,14.29,11.80,2,9999.0,999.0,12.0,999.0,99.0,99.00
2021,1,4,14,56,999,99.0,99.0,1.43,13.33,11.53,359,9999.0,999.0,12.0,999.0,99.0,99.00
2021,1,4,15,26,999,99.0,99.0,1.35,12.50,10.90,353,9999.0,999.0,12.0,999.0,99.0,99.00
2021,1,4,15,56,999,99.0,99.0,1.36,14.29,11.61,356,9999.0,999.0,12.0,999.0,99.0,99.00
2021,1,4,16,26,999,99.0,99.0,1.40,12.50,11.14,351,9999.0,999.0,12.1,999.0,99.0,99.00
2021,1,4,16,56,999,99.0,99.0,1.32,14.29,11.23,2,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,4,17,26,999,99.0,99.0,1.42,13.33,11.37,355,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,4,17,56,999,99.0,99.0,1.26,14.29,11.33,359,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,4,18,26,999,99.0,99.0,1.54,13.33,11.99,356,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,4,18,56,999,99.0,99.0,1.45,12.50,11.59,352,9999.0,999.0,12.3,999.0,99.0,99.00
2021,1,4,19,26,999,99.0,99.0,1.55,13.33,11.81,356,9999.0,999.0,12.3,999.0,99.0,99.00
2021,1,4,19,56,999,99.0,99.0,1.66,13.33,12.33,352,9999.0,999.0,12.3,999.0,99.0,99.00
2021,1,4,20,26,999,99.0,99.0,1.49,12.50,11.50,356,9999.0,999.0,12.3,999.0,99.0,99.00
2021,1,4,20,56,999,99.0,99.0,1.46,14.29,12.18,359,9999.0,999.0,12.3,999.0,99.0,99.00
2021,1,4,21,26,999,99.0,99.0,1.59,11.76,12.09,348,9999.0,999.0,12.3,999.0,99.0,99.00
2021,1,4,21,56,999,99.0,99.0,1.36,12.50,11.85,356,9999.0,999.0,12.3,999.0,99.0,99.00
2021,1,4,22,26,999,99.0,99.0,1.51,13.33,11.78,353,9999.0,999.0,12.3,999.0,99.0,99.00
2021,1,4,22,56,999,99.0,99.0,1.41,12.50,11.53,351,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,4,23,26,999,99.0,99.0,1.51,11.76,11.54,349,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,4,23,56,999,99.0,99.0,1.33,12.50,11.31,353,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,5,0,26,999,99.0,99.0,1.33,13.33,11.31,356,9999.0,999.0,12.2,999.0,99.0,99.00
