#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD  , APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec  , sec ,degT,   hPa , degC  ,degC , degC ,  mi ,   ft
2017,1,4,12,49,999,99.0,99.0,0.47,11.11,9.23,346,9999.0,999.0,11.8,999.0,99.0,99.00
2017,1,4,13,19,999,99.0,99.0,0.45,10.53,9.02,342,9999.0,999.0,11.8,999.0,99.0,99.00
2017,1,4,13,49,999,99.0,99.0,0.55,9.88,9.39,346,9999.0,999.0,11.8,999.0,99.0,99.00
2017,1,4,14,19,999,99.0,99.0,0.52,9.88,9.42,338,9999.0,999.0,11.8,999.0,99.0,99.00
2017,1,4,14,49,999,99.0,99.0,0.54,10.53,9.31,342,9999.0,999.0,11.8,999.0,99.0,99.00
2017,1,4,15,19,999,99.0,99.0,0.50,11.11,9.16,346,9999.0,999.0,11.8,999.0,99.0,99.00
2017,1,4,15,49,999,99.0,99.0,0.55,11.11,9.12,349,9999.0,999.0,11.8,999.0,99.0,99.00
2017,1,4,16,19,999,99.0,99.0,0.51,10.53,9.13,349,9999.0,999.0,11.8,999.0,99.0,99.00
2017,1,4,16,49,999,99.0,99.0,0.52,10.53,9.05,345,9999.0,999.0,11.8,999.0,99.0,99.00
2017,1,4,17,19,999,99.0,99.0,0.58,9.88,8.89,343,9999.0,999.0,11.8,999.0,99.0,99.00
2017,1,4,17,49,999,99.0,99.0,0.52,9.09,8.63,336,9999.0,999.0,11.8,999.0,99.0,99.00
2017,1,4,18,19,999,99.0,99.0,0.53,9.88,8.70,346,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,18,49,999,99.0,99.0,0.56,9.88,8.80,343,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,19,19,999,99.0,99.0,0.50,10.53,8.78,346,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,19,49,999,99.0,99.0,0.56,9.88,8.75,345,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,20,19,999,99.0,99.0,0.54,10.53,8.56,345,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,20,49,999,99.0,99.0,0.54,10.53,8.33,346,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,21,19,999,99.0,99.0,0.55,10.53,8.36,343,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,21,49,999,99.0,99.0,0.52,10.53,8.32,343,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,22,19,999,99.0,99.0,0.54,9.88,8.32,342,9999.0,999.0,11.9,999.0,99.0,99.00
